ticker,date,open,high,low,close
KNC,2022-04-11,3.92918,4.14424,3.87716,4.04821
KNC,2022-04-12,4.04721,4.43833,3.78276,3.84515
KNC,2022-04-13,3.84315,3.9982,3.6531,3.9862
KNC,2022-04-14,3.9922,4.85246,3.80614,4.4829
KNC,2022-04-15,4.48445,4.70694,4.28686,4.65193
KNC,2022-04-16,4.63393,4.72594,4.32086,4.37487
KNC,2022-04-17,4.37387,4.79296,4.11282,4.16683
KNC,2022-04-18,4.16808,4.38988,3.9808,4.36231
KNC,2022-04-19,4.35931,4.51235,4.21684,4.26185
KNC,2022-04-20,4.26085,4.62192,4.12041,4.32887
KNC,2022-04-21,4.32787,5.07601,4.25285,4.9615
KNC,2022-04-22,4.9625,4.9685,4.42889,4.80048
KNC,2022-04-23,4.80996,5.28306,4.61692,5.17852
KNC,2022-04-24,5.18504,5.31053,4.74447,4.84397
KNC,2022-04-25,4.84597,5.10302,4.57046,5.0455
KNC,2022-04-26,5.04901,5.69914,5.013,5.30453
KNC,2022-04-27,5.30553,5.584,5.09051,5.457
KNC,2022-04-28,5.45655,5.75858,5.181,5.595
KNC,2022-04-29,5.593,5.738,5.131,5.16052
KNC,2022-04-30,5.16052,5.38854,4.90749,5.06151
KNC,2022-05-01,5.06,5.19852,4.41444,4.499
KNC,2022-05-02,4.5,4.69147,3.927,4.0334
KNC,2022-05-03,4.037,4.11,3.55529,3.59164
KNC,2022-05-04,3.59064,3.674,3.20668,3.62
KNC,2022-05-05,3.617,3.81524,2.9934,3.09638
KNC,2022-05-06,3.09738,3.09969,2.70946,2.9917
KNC,2022-05-07,2.9897,3.11538,2.63447,2.63447
KNC,2022-05-08,2.64474,2.65647,2.28209,2.40928
KNC,2022-05-09,2.40928,2.5235,2.08537,2.19856
KNC,2022-05-10,2.20556,2.30654,1.89724,1.91024
KNC,2022-05-11,1.90424,2.05397,1.3288,1.43069
KNC,2022-05-12,1.43666,1.53284,1.06713,1.25872
KNC,2022-05-13,1.2576,1.88492,1.23266,1.62423
KNC,2022-05-14,1.61225,1.77997,1.44396,1.57379
KNC,2022-05-15,1.57779,1.68164,1.54668,1.67399
KNC,2022-05-16,1.67599,1.71711,1.48292,1.59077
KNC,2022-05-17,1.59592,2.01238,1.51887,1.98941
