ticker,date,open,high,low,close
ALPHA,2017-01-17,0.002251,0.002251,0.002251,0.002251
ALPHA,2017-01-18,0.002251,0.002251,0.002251,0.002251
ALPHA,2017-01-19,0.002251,0.002251,0.002251,0.002251
ALPHA,2017-01-20,0.002251,0.003,0.00225,0.002957
ALPHA,2017-01-21,0.002957,0.002957,0.00225,0.0025
ALPHA,2017-01-22,0.0025,0.0025,0.002253,0.002253
ALPHA,2017-01-23,0.002253,0.002272,0.002253,0.002272
ALPHA,2017-01-24,0.002272,0.002275,0.002206,0.002212
ALPHA,2017-01-25,0.002212,0.00222,0.002156,0.002178
ALPHA,2017-01-26,0.002178,0.002178,0.002056,0.002154
ALPHA,2017-01-27,0.002154,0.002398,0.002152,0.002152
ALPHA,2017-01-28,0.002152,0.002153,0.002152,0.002153
ALPHA,2017-01-29,0.002153,0.0022,0.002152,0.0022
ALPHA,2017-01-30,0.0022,0.0024,0.0022,0.0024
ALPHA,2017-01-31,0.0024,0.002497,0.002149,0.002149
ALPHA,2017-02-01,0.002149,0.002481,0.002149,0.002481
ALPHA,2017-02-02,0.002481,0.002483,0.002215,0.002215
ALPHA,2017-02-03,0.002215,0.002457,0.002215,0.002292
ALPHA,2017-02-04,0.002292,0.002292,0.002292,0.002292
ALPHA,2017-02-05,0.002292,0.002442,0.002292,0.002442
ALPHA,2017-02-06,0.002442,0.002442,0.002342,0.002342
ALPHA,2017-02-07,0.002342,0.002346,0.002275,0.002275
ALPHA,2017-02-08,0.002275,0.002381,0.0022,0.0022
ALPHA,2017-02-09,0.0022,0.002201,0.002056,0.002056
ALPHA,2017-02-10,0.002056,0.002184,0.002056,0.002181
ALPHA,2017-02-11,0.002181,0.002319,0.002173,0.002319
ALPHA,2017-02-12,0.002319,0.002319,0.001892,0.002168
ALPHA,2017-02-13,0.002168,0.002168,0.002168,0.002168
ALPHA,2017-02-14,0.002168,0.002168,0.001892,0.001892
ALPHA,2017-02-15,0.001892,0.001984,0.001892,0.001894
ALPHA,2017-02-16,0.001894,0.002207,0.001894,0.002164
ALPHA,2017-02-17,0.002164,0.002361,0.002164,0.002361
ALPHA,2017-02-18,0.002361,0.002361,0.001959,0.002047
ALPHA,2017-02-19,0.002047,0.002047,0.001985,0.001985
ALPHA,2017-02-20,0.001985,0.002063,0.001953,0.001985
ALPHA,2017-02-21,0.001985,0.001985,0.001985,0.001985
ALPHA,2017-02-22,0.001985,0.002367,0.001951,0.001951
ALPHA,2017-02-23,0.001951,0.001985,0.00195,0.00196
ALPHA,2017-02-24,0.00196,0.002,0.001806,0.001831
ALPHA,2017-02-25,0.001831,0.001857,0.0018,0.001857
ALPHA,2017-02-26,0.001857,0.001884,0.001732,0.001884
ALPHA,2017-02-27,0.001884,0.001886,0.001795,0.001804
ALPHA,2017-02-28,0.001804,0.001934,0.001793,0.00192
ALPHA,2017-03-01,0.00192,0.00192,0.001708,0.00174
