ticker,date,open,high,low,close
SYS,2022-01-21,1.09333,1.12754,0.96409,1.02881
SYS,2022-01-22,1.03311,1.05781,0.72432,0.85887
SYS,2022-01-23,0.86006,0.9853,0.83237,0.89808
SYS,2022-01-24,0.89938,0.940788,0.753851,0.829249
SYS,2022-01-25,0.830249,0.889055,0.808643,0.834117
SYS,2022-01-26,0.836318,0.898449,0.812487,0.8343
SYS,2022-01-27,0.8343,0.848909,0.767207,0.786915
SYS,2022-01-28,0.786615,0.836251,0.769208,0.811643
SYS,2022-01-29,0.812062,0.849255,0.793538,0.806842
SYS,2022-01-30,0.806342,0.829649,0.744398,0.758527
SYS,2022-01-31,0.758903,0.78119,0.713643,0.770785
SYS,2022-02-01,0.77421,0.811305,0.749475,0.762581
SYS,2022-02-02,0.763058,0.766983,0.695948,0.714371
SYS,2022-02-03,0.713642,0.719003,0.685342,0.706353
SYS,2022-02-04,0.704852,0.758079,0.703181,0.742694
SYS,2022-02-05,0.74382,0.822375,0.742894,0.778945
SYS,2022-02-06,0.780368,0.86043,0.772286,0.843037
SYS,2022-02-07,0.844138,0.909818,0.833717,0.888622
SYS,2022-02-08,0.889622,0.90023,0.794635,0.864063
SYS,2022-02-09,0.866766,0.903803,0.827179,0.902802
SYS,2022-02-10,0.90071,0.920736,0.836852,0.859101
SYS,2022-02-11,0.862703,0.884931,0.787715,0.794238
SYS,2022-02-12,0.792934,0.829698,0.772963,0.818109
SYS,2022-02-13,0.819591,0.851611,0.785993,0.798899
SYS,2022-02-14,0.801381,0.823594,0.768484,0.809605
SYS,2022-02-15,0.810805,0.877926,0.798799,0.852826
SYS,2022-02-16,0.851911,0.885519,0.811587,0.824912
SYS,2022-02-17,0.824695,0.832399,0.741118,0.747723
SYS,2022-02-18,0.747623,0.758831,0.686512,0.694016
SYS,2022-02-19,0.695417,0.723734,0.6675,0.674404
SYS,2022-02-20,0.672003,0.673337,0.553677,0.578389
SYS,2022-02-21,0.578389,0.626713,0.528211,0.534367
SYS,2022-02-22,0.532066,0.54942,0.484194,0.52016
SYS,2022-02-23,0.520412,0.569184,0.499199,0.505403
SYS,2022-02-24,0.503452,0.504102,0.398899,0.436531
SYS,2022-02-25,0.438976,0.491497,0.438976,0.483893
SYS,2022-02-26,0.484042,0.647259,0.48044,0.591236
SYS,2022-02-27,0.597799,0.640056,0.533413,0.571028
SYS,2022-02-28,0.570728,0.642321,0.556278,0.624612
SYS,2022-03-01,0.62515,0.667467,0.598299,0.625087
SYS,2022-03-02,0.625588,0.627188,0.569071,0.584775
SYS,2022-03-03,0.584375,0.589877,0.551966,0.570014
SYS,2022-03-04,0.571214,0.616185,0.537808,0.543609
SYS,2022-03-05,0.543263,0.597779,0.530106,0.570471
